177,Boku no Hero Academia: Memories,4,"Escola, Shounen, Super Poderes",2024,??,https://www.anroll.net/a/b79EaOGfXG
178,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,10,"Comédia, Ecchi, Escola, Harém, Romance",2017,6.3,https://www.anroll.net/a/RiFIkUxTFp
179,Boku no Kokoro no Yabai Yatsu,12,Comédia,2023,??,https://www.anroll.net/a/xoO7nY7r2d
180,Boku no Kokoro no Yabai Yatsu 2,13,"Comédia, Escola, Romance, Shounen",2024,??,https://www.anroll.net/a/xKc5bAUB1n
181,Boku no Kokoro no Yabai Yatsu: Twi-Yaba,1,"Comédia, Escola",2023,??,https://www.anroll.net/a/NQPfhExC3N
182,Boku no Tonari ni Ankoku Hakaishin ga Imasu,12,"Comédia, Escola, Josei, Slice of Life",2020,6.7,https://www.anroll.net/a/9LuVZLQPZa
183,Bokura no Ameiro Protocol,12,Ação,2023,??,https://www.anroll.net/a/boLMUHZ1MQ
184,Bokura wa Minna Kawaisou,12,"Comédia, Escola, Romance, Seinen, Slice of Life",2014,7.7,https://www.anroll.net/a/u5064m9SvR
185,Bokutachi no Remake,13,Comédia,2021,7.5,https://www.anroll.net/a/L4dDdpNWoW
186,Bokutachi wa Benkyou ga Dekinai (We Never Learn),13,"Comédia, Escola, Harém, Romance, Shounen",2019,7.3,https://www.anroll.net/a/PrXuEfKkW8
187,Bokutachi wa Benkyou ga Dekinai 2 (We Never Learn),13,"Comédia, Escola, Harém, Romance, Shounen",2019,7.3,https://www.anroll.net/a/PYbX2LW5fw
188,Boogiepop wa Warawanai,18,"Mistério, Psicológico, Terror",2019,7.1,https://www.anroll.net/a/LUlTchKrSY
189,Boruto: Naruto Next Generations,293,"Ação, Artes Marciais, Aventura, Shounen, Super Poderes",2017,5.9,https://www.anroll.net/a/ami2YratEp
190,Boruto: Naruto Next Generations Part 2,0,"Ação, Artes Marciais, Aventura, Shounen, Super Poderes",0,??,https://www.anroll.net/a/4eMFW5Clhc
191,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,13,"Ação, Aventura, Fantasia",2023,??,https://www.anroll.net/a/hmmDGAx5hI
192,Boukyaku Battery,4,"Escola, Esportes, Shounen",2024,??,https://www.anroll.net/a/zZirA2MMF3
193,Boushoku no Berserk,12,"Ação, Fantasia",2023,??,https://www.anroll.net/a/4vosYVxm5E
194,BTOOOM!,12,"Ação, Ficção Científica, Psicológico, Seinen",2012,7.3,https://www.anroll.net/a/hrWUiFOc62
195,Bucchigire! (Shine On! Bakumatsu Bad Boys),12,Ação,2022,??,https://www.anroll.net/a/Ta5DjGfvXq
196,Bucchigiri?!,12,Fantasia,2024,??,https://www.anroll.net/a/WxInyF0gZ9
197,Bucchigiri?! Dublado,12,Fantasia,2024,??,https://www.anroll.net/a/QUw9Os4jJj
198,Buddy Daddies,12,Comédia,2023,??,https://www.anroll.net/a/dLSu7wAzqI
199,Build Divide: Code Black,16,Fantasia,2021,6.2,https://www.anroll.net/a/EcElPpasmS
200,Build Divide: Code White,10,Fantasia,2022,??,https://www.anroll.net/a/Ogd3EUX80c
201,Bullbuster,12,"Ação, Ficção Científica, Robôs Gigantes",2023,??,https://www.anroll.net/a/hLzx0mM1MS
202,"Bungou Stray Dogs (1, 2, 3)",37,"Ação, Comédia, Mistério, Seinen, Sobrenatural, Super Poderes",2016,7.8,https://www.anroll.net/a/j8jNUJaxVV
203,Bungou Stray Dogs 4,13,"Ação, Mistério, Seinen, Sobrenatural",2023,??,https://www.anroll.net/a/ZshRdZorv8
204,Bungou Stray Dogs 5,11,"Ação, Mistério, Seinen, Sobrenatural",2023,??,https://www.anroll.net/a/mvG4cfN7rv
205,Bungou to Alchemist: Shinpan no Haguruma,12,"Ação, Aventura, Fantasia",2020,6.4,https://www.anroll.net/a/dc7lOjuLuS
206,BURN THE WITCH,3,"Ação, Fantasia, Magia, Shounen",2020,7.5,https://www.anroll.net/a/byclsDJ3sc
207,Busou Shoujo Machiavellianism,12,"Ação, Comédia, Escola, Shounen",2017,6.9,https://www.anroll.net/a/enRZoiVjpa
208,Buta no Liver wa Kanetsu Shiro,12,"Comédia, Fantasia",2023,??,https://www.anroll.net/a/STzNSrRtqi
209,Butlers: Chitose Momotose Monogatari,12,"Comédia, Escola, Sobrenatural",2018,5.6,https://www.anroll.net/a/fhup47bqkg
210,Caligula,12,"Ação, Ficção Científica",2018,6.0,https://www.anroll.net/a/leMHnaRiVC
211,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,13,"Comédia, Ecchi, Fantasia, Harém, Magia, Romance",2012,7.0,https://www.anroll.net/a/XT68IgsUF9
212,Captain Tsubasa (2018),52,"Ação, Esportes, Shounen",2018,7.4,https://www.anroll.net/a/orBeZa8uhj
